plan_id,dataset_category,svg_path,scaled_image_path,gfa_svg_units_squared,gfa_m2,included_space_count,excluded_space_count,undefined_space_count,median_door_width_svg_units,scale_m_per_svg_unit,included_space_types
1244,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\1244\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\1244\F1_scaled.png,211435.1437,23.1238163,4,1,0,86.06,0.01045782,"Alcove, Entry, Kitchen, Room"
1789,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1789\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1789\F1_scaled.png,248585.8547,23.16843224,4,1,0,93.225,0.009654063,"Bath, Entry, Kitchen, LivingRoom"
8299,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8299\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8299\F1_scaled.png,181146.6184,23.21565775,3,1,1,79.5,0.011320755,"DressingRoom, Room, Undefined"
7067,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7067\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7067\F1_scaled.png,207155.3013,23.28455828,4,1,0,84.89,0.010601955,"Bath, Entry, Kitchen, Room"
8269,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8269\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8269\F1_scaled.png,256275.6129,23.34860984,3,1,1,94.29,0.009545021,"Elevated, Room, Undefined"
8396,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\8396\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\8396\F1_scaled.png,248414.6207,23.37005974,4,1,0,92.79,0.009699321,"Bath, Entry, Kitchen, LivingRoom"
12008,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12008\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12008\F1_scaled.png,247904.2622,23.45329619,4,1,0,92.53,0.009726575,"Bath, Entry, Kitchen, Room"
1767,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1767\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1767\F1_scaled.png,286914.6603,23.49312821,4,1,0,99.46,0.009048864,"Bath, Entry, Kitchen, LivingRoom"
3103,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\3103\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\3103\F1_scaled.png,238206.5378,23.78364261,4,1,1,90.07,0.009992228,"Bath, Entry, LivingRoom, Undefined"
3651,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\3651\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\3651\F1_scaled.png,209475.3626,23.94987854,4,1,0,84.17,0.010692646,"Bath, Entry, Kitchen, LivingRoom"
7918,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7918\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7918\F1_scaled.png,283253.107,23.99469429,1,2,1,97.785,0.009203866,Undefined
14021,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14021\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14021\F1_scaled.png,239500.0568,24.39246574,2,4,0,89.18,0.010091949,"TechnicalRoom, UserDefined"
14927,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\14927\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\14927\F1_scaled.png,224181.4676,24.44392628,4,1,0,86.19,0.010442047,"Bath, Entry, Kitchen, LivingRoom"
1902,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1902\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1902\F1_scaled.png,247094.4296,24.58908274,4,1,0,90.22,0.009975615,"Bath, Entry, Kitchen, Room"
13538,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13538\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13538\F1_scaled.png,247744.8884,24.62105287,4,1,0,90.28,0.009968985,"Bath, Entry, Kitchen, Room"
11023,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11023\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11023\F1_scaled.png,243945.9219,24.83969468,1,1,0,89.19,0.010090817,DraughtLobby
10741,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10741\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10741\F1_scaled.png,287596.0039,24.8557817,5,0,1,96.81,0.00929656,"Bath, Entry, Kitchen, LivingRoom, Undefined"
14937,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\14937\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\14937\F1_scaled.png,227384.1487,24.86231697,4,1,0,86.07,0.010456605,"Bath, Entry, Kitchen, LivingRoom"
4787,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4787\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4787\F1_scaled.png,262138.9651,24.96700014,4,1,0,92.22,0.009759271,"Bath, Entry, Kitchen, LivingRoom"
9231,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9231\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9231\F1_scaled.png,248889.6866,25.00552497,4,1,0,89.79,0.010023388,"Bath, Entry, Kitchen, Room"
20021,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\20021\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\20021\F1_scaled.png,266741.3954,25.09959427,4,0,0,92.78,0.009700366,"Bath, Entry, Kitchen, Room"
925,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\925\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\925\F1_scaled.png,249370.8647,25.25032942,4,1,2,89.44001037,0.010062611,"Kitchen, Room, Undefined"
13113,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13113\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13113\F1_scaled.png,271965.2072,25.29040796,4,0,4,93.33,0.009643202,Undefined
14310,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14310\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14310\F1_scaled.png,256177.963,25.29636106,3,0,0,90.57,0.009937065,"Bath, Entry, Kitchen"
13023,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13023\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13023\F1_scaled.png,243065.4564,25.40084673,4,1,0,88.04,0.010222626,"Bath, Entry, Kitchen, LivingRoom"
14313,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14313\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14313\F1_scaled.png,276976.3892,25.7068014,6,1,3,93.42,0.009633911,"Bath, Entry, Kitchen, Undefined"
5016,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\5016\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\5016\F1_scaled.png,209393.2581,25.74284972,2,1,1,81.17,0.01108784,"Room, Undefined"
11319,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11319\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11319\F1_scaled.png,219507.795,25.80012568,4,1,1,83.015,0.010841414,"Bath, Room, Storage, Undefined"
8397,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\8397\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\8397\F1_scaled.png,254543.6848,25.87237373,5,1,1,89.27,0.010081774,"Bath, Entry, Kitchen, LivingRoom, Undefined"
11615,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11615\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11615\F1_scaled.png,280483.5313,25.89353502,6,1,0,93.67,0.009608199,"Alcove, Bath, Closet, Entry, Kitchen, LivingRoom"
11051,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11051\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11051\F1_scaled.png,325493.4274,25.98937336,5,0,2,100.72,0.008935663,"Bath, Kitchen, Undefined, UserDefined"
13530,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13530\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13530\F1_scaled.png,263662.3337,26.36037518,5,1,1,90.01,0.009998889,"Alcove, Bath, Entry, Kitchen, Undefined"
11027,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11027\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11027\F1_scaled.png,318972.9616,26.38804965,4,1,0,98.95,0.009095503,"Bath, DraughtLobby, Entry, Room"
1018,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1018\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1018\F1_scaled.png,197656.98,26.38965829,2,1,1,77.89,0.011554757,"Elevated, Undefined"
8060,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8060\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\8060\F1_scaled.png,217781.2114,26.42135018,2,3,0,81.71,0.011014564,Storage
14440,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14440\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14440\F1_scaled.png,215489.3559,26.52497345,4,1,0,81.12,0.011094675,"Bath, Entry, Kitchen, LivingRoom"
14438,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14438\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14438\F1_scaled.png,221954.1252,26.5493636,4,1,0,82.29,0.01093693,"Bath, Entry, Kitchen, LivingRoom"
1838,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1838\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1838\F1_scaled.png,244786.5773,26.64115337,4,1,0,86.27,0.010432364,"Bath, Entry, Kitchen, Room"
13022,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13022\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13022\F1_scaled.png,257456.1462,26.69205525,4,1,0,88.39,0.010182147,"Bath, Entry, Kitchen, LivingRoom"
4786,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4786\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4786\F1_scaled.png,249673.0863,26.70659932,4,1,4,87.02,0.01034245,Undefined
12217,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\12217\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\12217\F1_scaled.png,267978.971,26.76220227,4,1,0,90.06,0.009993338,"Bath, Entry, Kitchen, LivingRoom"
10282,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\10282\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\10282\F1_scaled.png,251646.4105,26.81281449,4,1,0,87.19,0.010322285,"Bath, Entry, Kitchen, LivingRoom"
11320,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11320\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11320\F1_scaled.png,223994.5342,26.82275792,4,1,1,82.245,0.010942914,"Bath, Room, Storage, Undefined"
11063,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11063\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11063\F1_scaled.png,225826.7744,26.8232065,4,1,0,82.58,0.010898523,"Bath, Entry, Kitchen, LivingRoom"
929,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\929\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\929\F1_scaled.png,313617.6568,26.87106955,5,0,0,97.23,0.009256402,"Alcove, Bath, Entry, Kitchen, LivingRoom"
13638,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13638\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13638\F1_scaled.png,230757.1022,26.92412343,4,1,0,83.32,0.010801728,"Bath, Entry, Kitchen, LivingRoom"
7714,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7714\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7714\F1_scaled.png,256326.8129,26.95174319,3,1,1,87.77,0.010254073,"Bath, Room, Undefined"
13181,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13181\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13181\F1_scaled.png,261234.1313,27.07148978,4,1,2,88.41,0.010179844,"Kitchen, Room, Undefined"
13278,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13278\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13278\F1_scaled.png,271185.825,27.12460986,4,1,0,89.99,0.010001111,"Bath, Entry, Kitchen, LivingRoom"
13647,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13647\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13647\F1_scaled.png,313716.86,27.22004332,4,1,0,96.62,0.009314842,"Bath, Entry, Kitchen, LivingRoom"
14384,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14384\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14384\F1_scaled.png,263421.721,27.53437342,4,0,0,88.03,0.010223787,"Bath, Entry, Kitchen, Room"
10740,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10740\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10740\F1_scaled.png,283133.8658,27.54600909,5,0,1,91.245,0.009863554,"Bath, Entry, Kitchen, LivingRoom, Undefined"
3136,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\3136\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\3136\F1_scaled.png,279943.4932,27.55783291,5,1,1,90.71,0.009921729,"Bath, Entry, Kitchen, LivingRoom, Undefined"
5505,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\5505\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\5505\F1_scaled.png,370563.4171,27.74047304,1,1,0,104.02,0.008652182,Kitchen
13167,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13167\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13167\F1_scaled.png,288881.9929,27.74829619,4,0,1,91.83,0.009800719,"Bath, Entry, Kitchen, Undefined"
14928,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\14928\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\14928\F1_scaled.png,243284.4346,27.82197069,4,1,0,84.16,0.010693916,"Bath, Entry, Kitchen, LivingRoom"
12146,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12146\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12146\F1_scaled.png,310501.7622,27.95006663,3,0,0,94.86,0.009487666,"Bath, Entry, Kitchen"
627,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\627\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\627\F1_scaled.png,219915.0504,27.96567779,6,1,1,79.81,0.011276782,"Alcove, Bath, Closet, Kitchen, Room, Undefined"
5890,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\5890\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\5890\F1_scaled.png,243436.3089,28.02551033,5,0,1,83.88,0.010729614,"Alcove, Kitchen, LivingRoom, Undefined, UserDefined"
1854,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1854\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\1854\F1_scaled.png,243485.9169,28.04459352,4,1,0,83.86,0.010732173,"Bath, Entry, Kitchen, Room"
6324,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6324\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6324\F1_scaled.png,192117.0574,28.05250245,2,1,0,74.48,0.012083781,"Bedroom, Room"
4623,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\4623\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\4623\F1_scaled.png,268426.4414,28.07024937,5,0,0,88.01,0.010226111,"Bath, Closet, Entry, Kitchen, LivingRoom"
9492,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9492\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9492\F1_scaled.png,292234.3717,28.32884682,4,1,0,91.41,0.00984575,"Bath, Entry, Kitchen, LivingRoom"
4542,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\4542\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\4542\F1_scaled.png,249810.8987,28.33219336,4,0,0,84.51,0.010649627,"Bath, Entry, Kitchen, LivingRoom"
3137,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\3137\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\3137\F1_scaled.png,276251.968,28.35770467,4,1,0,88.83,0.010131712,"Bath, Entry, Kitchen, LivingRoom"
4006,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\4006\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\4006\F1_scaled.png,272383.7832,28.39689805,3,1,0,88.145,0.010210449,"Bath, Entry, Kitchen"
904,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\904\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\904\F1_scaled.png,230149.8123,28.46273066,3,1,1,80.93,0.011120722,"DressingRoom, Room, Undefined"
4010,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4010\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\4010\F1_scaled.png,225739.2508,28.55584422,7,1,7,80.02,0.011247188,Undefined
10359,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10359\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10359\F1_scaled.png,248653.9774,28.61254625,3,0,0,83.9,0.010727056,"Bath, Kitchen, UserDefined"
13254,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13254\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13254\F1_scaled.png,280137.4105,28.78246709,5,1,0,88.79,0.010136277,"Alcove, Bath, Entry, Kitchen, LivingRoom"
865,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\865\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\865\F1_scaled.png,252765.7408,28.78299856,4,1,0,84.34,0.010671093,"Bath, Entry, Kitchen, LivingRoom"
7696,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7696\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\7696\F1_scaled.png,293972.4551,28.83703484,4,1,0,90.87,0.009904259,"Bath, Entry, Kitchen, LivingRoom"
476,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\476\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\476\F1_scaled.png,299260.5928,28.92762205,3,0,0,91.54,0.009831768,"Entry, Kitchen, UserDefined"
11026,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11026\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11026\F1_scaled.png,262585.068,29.02735843,2,1,0,85.6,0.010514019,"Bath, DraughtLobby"
14050,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14050\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14050\F1_scaled.png,256463.4735,29.04886929,4,1,0,84.565,0.010642701,"Bath, Entry, Kitchen, Room"
13083,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13083\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13083\F1_scaled.png,246879.5982,29.05579308,4,1,3,82.96,0.010848602,"LivingRoom, Undefined"
12135,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12135\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12135\F1_scaled.png,251266.3331,29.10014327,4,1,0,83.63,0.010761688,"Bath, Entry, Kitchen, Room"
3721,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\3721\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\3721\F1_scaled.png,274710.3675,29.28706154,3,1,0,87.165,0.010325245,"Bath, Entry, Kitchen"
12534,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12534\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12534\F1_scaled.png,306683.969,29.29850583,5,1,0,92.08,0.009774109,"Bath, Bedroom, Entry, Kitchen, LivingRoom"
534,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\534\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\534\F1_scaled.png,175509.137,29.30505279,3,1,1,69.65,0.012921752,"Den, DressingRoom, Undefined"
6556,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6556\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6556\F1_scaled.png,242546.8166,29.33968829,3,1,1,81.83,0.010998411,"Bath, Room, Undefined"
39,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\39\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\39\F1_scaled.png,270999.4661,29.36104425,4,1,2,86.46512592,0.010408821,"Bath, Kitchen, Undefined"
6655,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6655\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6655\F1_scaled.png,288329.4492,29.36561395,5,2,0,89.18,0.010091949,"DraughtLobby, Entry, Kitchen, LivingRoom, UserDefined"
11020,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11020\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\11020\F1_scaled.png,340400.5538,29.43771127,4,1,0,96.78,0.009299442,"Bath, DraughtLobby, Entry, Room"
5133,high_quality,D:\Data\Raw\CubiCasa_Raw\high_quality\5133\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality\5133\F1_scaled.png,281562.5938,29.45732734,3,0,0,87.99,0.010228435,"Bath, Entry, Kitchen"
10220,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10220\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10220\F1_scaled.png,268898.8355,29.56621395,3,1,3,85.83,0.010485844,Undefined
20068,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\20068\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\20068\F1_scaled.png,315718.0433,29.58048822,4,0,2,92.98,0.009679501,"Kitchen, Room, Undefined"
13769,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13769\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13769\F1_scaled.png,236837.0108,29.6734797,4,0,0,80.405,0.011193334,"Alcove, Bath, Kitchen, Room"
12073,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12073\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12073\F1_scaled.png,262782.9323,29.68386684,5,1,1,84.68,0.010628248,"Bath, Entry, Kitchen, LivingRoom, Undefined"
